IDCNTRY,IDBOOK,IDSCHOOL,IDCLASS,IDSTUD,IDTEALIN,IDTEACH,IDLINK,IDPOP,IDGRADER,IDGRADE,IDSUBJ,ITCOURSE,MATSUBJ,SCISUBJ,NMTEACH,NSTEACH,NTEACH,MATWGT,SCIWGT,TCHWGT,JKREP,JKZONE,ASMMAT01,ASMMAT02,ASMMAT03,ASMMAT04,ASMMAT05,ASSSCI01,ASSSCI02,ASSSCI03,ASSSCI04,ASSSCI05,ASMIBM01,ASMIBM02,ASMIBM03,ASMIBM04,ASMIBM05,ASSIBM01,ASSIBM02,ASSIBM03,ASSIBM04,ASSIBM05,VERSION,SCOPE
208.0,2.0,5002.0,500203.0,50020306.0,50020204.0,500202.0,4.0,1.0,2.0,4.0,2.0,6.0,0.0,1.0,1.0,1.0,2.0,0.0,21.853477,10.926739,0.0,22.0,478.09691,469.39246,422.87943,510.81593,467.34519,408.02291,453.72418,485.86638,466.62616,428.36515,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,5.0,1.0
208.0,2.0,5002.0,500203.0,50020306.0,50020103.0,500201.0,3.0,1.0,2.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,21.853477,0.0,10.926739,0.0,22.0,478.09691,469.39246,422.87943,510.81593,467.34519,408.02291,453.72418,485.86638,466.62616,428.36515,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,5.0,1.0
208.0,3.0,5002.0,500203.0,50020307.0,50020103.0,500201.0,3.0,1.0,2.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,21.853477,0.0,10.926739,0.0,22.0,463.85001,443.35033,474.63751,423.68108,442.70931,443.0337,519.31402,457.39774,458.19799,482.19639,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,5.0,1.0
208.0,3.0,5002.0,500203.0,50020307.0,50020204.0,500202.0,4.0,1.0,2.0,4.0,2.0,6.0,0.0,1.0,1.0,1.0,2.0,0.0,21.853477,10.926739,0.0,22.0,463.85001,443.35033,474.63751,423.68108,442.70931,443.0337,519.31402,457.39774,458.19799,482.19639,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,5.0,1.0
208.0,4.0,5002.0,500203.0,50020308.0,50020204.0,500202.0,4.0,1.0,2.0,4.0,2.0,6.0,0.0,1.0,1.0,1.0,2.0,0.0,21.853477,10.926739,0.0,22.0,488.96889,449.87276,475.21342,465.64032,431.96031,513.56928,493.79186,538.03552,491.08635,486.53367,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,5.0,1.0
208.0,4.0,5002.0,500203.0,50020308.0,50020103.0,500201.0,3.0,1.0,2.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,21.853477,0.0,10.926739,0.0,22.0,488.96889,449.87276,475.21342,465.64032,431.96031,513.56928,493.79186,538.03552,491.08635,486.53367,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,5.0,1.0
208.0,5.0,5002.0,500203.0,50020309.0,50020103.0,500201.0,3.0,1.0,2.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,21.853477,0.0,10.926739,0.0,22.0,568.77564,572.50699,586.1554,571.31067,594.00546,529.2081,539.90456,596.42664,528.89849,589.16812,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,5.0,1.0
208.0,5.0,5002.0,500203.0,50020309.0,50020204.0,500202.0,4.0,1.0,2.0,4.0,2.0,6.0,0.0,1.0,1.0,1.0,2.0,0.0,21.853477,10.926739,0.0,22.0,568.77564,572.50699,586.1554,571.31067,594.00546,529.2081,539.90456,596.42664,528.89849,589.16812,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,5.0,1.0
208.0,7.0,5002.0,500203.0,50020311.0,50020204.0,500202.0,4.0,1.0,2.0,4.0,2.0,6.0,0.0,1.0,1.0,1.0,2.0,0.0,21.853477,10.926739,0.0,22.0,414.34115,384.20119,377.39268,398.64725,416.35678,444.38695,367.34271,347.07053,380.12841,425.39809,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,5.0,1.0
208.0,7.0,5002.0,500203.0,50020311.0,50020103.0,500201.0,3.0,1.0,2.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,21.853477,0.0,10.926739,0.0,22.0,414.34115,384.20119,377.39268,398.64725,416.35678,444.38695,367.34271,347.07053,380.12841,425.39809,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,5.0,1.0
